2026-05-22 08:40:37 | INFO     | services.decision_engine | Decision input → image_status=AUTHENTIC, confidence=0.9981, risk_level=MEDIUM, risk_score=0.8753, return_type=returnless
2026-05-22 08:40:37 | INFO     | services.decision_engine | Decision output → {'action': 'PROCEED', 'reason': 'Image AUTHENTIC (confidence 100%) and ML risk is MEDIUM. Return approved — no further action required.', 'severity': 'LOW'}
2026-05-22 08:45:43 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:45:45 | INFO     | services.ml_service | ML model and scaler loaded successfully.
2026-05-22 08:45:45 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=MEDIUM, risk_score=0.6393, return_type=return
2026-05-22 08:45:45 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 08:45:53 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:45:53 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=MEDIUM, risk_score=0.6291, return_type=return
2026-05-22 08:45:53 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 08:46:00 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:46:00 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.4188, return_type=return
2026-05-22 08:46:00 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 08:46:10 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:46:10 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=MEDIUM, risk_score=0.5379, return_type=return
2026-05-22 08:46:10 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 08:46:21 | INFO     | main | Validate request: orders=200, returns=77, fraud_flag=0
2026-05-22 08:46:21 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.4188, return_type=return
2026-05-22 08:46:21 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
